ce_cms_fog  | 2025-07-28 11:30:22,242 - INFO - Starting CE-CMS Fog Layer Proxy
ce_cms_fog  | 2025-07-28 11:31:41,725 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:41] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:42,748 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:42] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:43,771 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:43] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:44,340 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:44] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:44,345 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:44] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:44,793 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:44] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:45,814 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:45] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:46,837 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:46] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:47,858 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:47] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:48,903 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:48] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:49,387 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:49] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:49,391 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:49] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:49,923 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:49] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:50,944 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:50] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:51,964 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:51] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:52,985 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:52] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:54,005 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:54] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:54,428 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:54] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:54,435 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:54] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:55,053 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:55] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:56,098 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:56] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:57,119 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:57] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:57,274 - INFO - 127.0.0.1 - - [28/Jul/2025 11:31:57] "GET /health HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:58,140 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:58] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:59,160 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:59] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:59,469 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:59] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:59,472 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:59] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:00,201 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:00] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:01,225 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:01] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:02,246 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:02] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:03,268 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:03] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:04,289 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:04] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:04,501 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:04] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:04,505 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:04] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:05,310 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:05] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:06,337 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:06] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:07,380 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:07] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:08,400 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:08] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:09,444 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:09] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:09,532 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:09] "GET /network_status HTTP/1.1" 200 -
